721	NM_001130914	chr21	-	17887838	17907139	17888281	17903333	6	17887838,17892805,17898333,17899048,17903160,17906887,	17888521,17893013,17898465,17899186,17903341,17907139,	0	BTG3	cmpl	cmpl	0,2,2,2,0,-1,
887	NR_033800	chr21	-	39607730	39608758	39608758	39608758	1	39607730,	39608758,	0	BRWD1-IT2	unk	unk	-1,
905	NR_024028	chr21	+	42009664	42010811	42010811	42010811	3	42009664,42010229,42010570,	42009773,42010403,42010811,	0	LINC00112	unk	unk	-1,-1,-1,
97	NR_024027	chr21	-	25680003	25725884	25725884	25725884	5	25680003,25714890,25718736,25723948,25725360,	25680522,25714983,25718832,25724192,25725884,	0	LINC00158	unk	unk	-1,-1,-1,-1,-1,
798	NR_024357	chr21	+	28016568	28045423	28045423	28045423	4	28016568,28037582,28040007,28045261,	28016603,28037694,28040222,28045423,	0	LINC00113	unk	unk	-1,-1,-1,-1,
12	NM_001136016	chr21	-	26174731	26434579	26175851	26434383	17	26174731,26185904,26191755,26199206,26205923,26248774,26249811,26269253,26270137,26276527,26294200,26316026,26345186,26347422,26384129,26406166,26434341,	26175953,26186051,26191856,26199260,26206145,26248874,26249940,26269412,26270212,26276661,26294368,26316229,26345380,26347535,26384259,26406334,26434579,	0	APP	cmpl	cmpl	0,0,1,1,1,0,0,0,0,1,1,2,0,1,0,0,0,
97	NM_021219	chr21	+	25933464	26011745	25934004	26008855	10	25933464,25978065,25984048,25987938,25992859,25996352,26000161,26003616,26006522,26008822,	25934071,25978131,25984156,25988091,25993062,25996452,26000269,26003632,26006565,26011745,	0	JAM2	cmpl	cmpl	0,1,1,1,1,0,1,1,2,0,
940	NM_001006114	chr21	+	46530694	46536539	46531255	46535831	3	46530694,46531211,46535675,	46530757,46531465,46536539,	0	YBEY	cmpl	cmpl	-1,0,0,
925	NM_001271441	chr21	-	44573254	44583713	44574508	44583505	7	44573254,44574773,44576153,44577343,44580068,44581959,44583428,	44574637,44575227,44576325,44577573,44580115,44581978,44583713,	0	C21orf2	cmpl	cmpl	0,2,1,2,0,2,0,
93	NM_004540	chr21	+	21292503	21834388	21292752	21832149	18	21292503,21574768,21578384,21580459,21586294,21618573,21629695,21632579,21668053,21704464,21712663,21726298,21760797,21762853,21771482,21803042,21828728,21832037,	21292807,21574843,21578591,21580603,21586432,21618691,21629856,21632725,21668204,21704652,21712760,21726472,21760917,21762975,21771663,21803247,21828848,21834388,	0	NCAM2	cmpl	cmpl	0,1,1,1,1,1,2,1,0,1,0,1,1,1,0,1,2,2,
942	NM_006272	chr21	-	46842958	46849463	46843703	46846756	3	46842958,46846618,46849353,	46843844,46846757,46849463,	0	S100B	cmpl	cmpl	0,0,-1,
