chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9437432	chr21	9437432	*	49	100	0
chr21.9437444	chr21	9437444	*	50	98	2
chr21.9437458	chr21	9437458	*	50	82	18
chr21.9437461	chr21	9437461	*	50	78	22
chr21.9437464	chr21	9437464	*	50	86	14
chr21.9437470	chr21	9437470	*	35	65.7142857142857	34.2857142857143
chr21.9437472	chr21	9437472	*	50	86	14
chr21.9437488	chr21	9437488	*	54	94.4444444444444	5.55555555555556
chr21.9437516	chr21	9437516	*	54	50	50
chr21.9437518	chr21	9437518	*	54	59.2592592592593	40.7407407407407
chr21.9437530	chr21	9437530	*	54	92.5925925925926	7.40740740740741
chr21.9437532	chr21	9437532	*	54	100	0
chr21.9437535	chr21	9437535	*	54	96.2962962962963	3.7037037037037
chr21.9437538	chr21	9437538	*	52	98.0769230769231	1.92307692307692
chr21.9438049	chr21	9438049	*	124	99.1935483870968	0.806451612903226
chr21.9438055	chr21	9438055	*	124	0	100
chr21.9438065	chr21	9438065	*	124	72.5806451612903	27.4193548387097
chr21.9438071	chr21	9438071	*	124	87.0967741935484	12.9032258064516
chr21.9438073	chr21	9438073	*	124	67.741935483871	32.258064516129
chr21.9438090	chr21	9438090	*	124	92.741935483871	7.25806451612903
chr21.9438093	chr21	9438093	*	124	14.5161290322581	85.4838709677419
chr21.9438095	chr21	9438095	*	124	84.6774193548387	15.3225806451613
chr21.9438339	chr21	9438339	*	65	100	0
chr21.9438353	chr21	9438353	*	65	89.2307692307692	10.7692307692308
chr21.9438359	chr21	9438359	*	65	70.7692307692308	29.2307692307692
chr21.9438362	chr21	9438362	*	65	64.6153846153846	35.3846153846154
chr21.9438365	chr21	9438365	*	65	90.7692307692308	9.23076923076923
chr21.9438367	chr21	9438367	*	65	93.8461538461538	6.15384615384615
chr21.9438378	chr21	9438378	*	65	93.8461538461538	6.15384615384615
chr21.9438381	chr21	9438381	*	65	70.7692307692308	29.2307692307692
chr21.9438384	chr21	9438384	*	65	96.9230769230769	3.07692307692308
chr21.9438390	chr21	9438390	*	65	100	0
chr21.9438974	chr21	9438974	*	14	85.7142857142857	14.2857142857143
chr21.9438990	chr21	9438990	*	14	92.8571428571429	7.14285714285714
chr21.9438993	chr21	9438993	*	14	100	0
chr21.9438996	chr21	9438996	*	14	21.4285714285714	78.5714285714286
chr21.9439011	chr21	9439011	*	14	100	0
chr21.9439017	chr21	9439017	*	14	85.7142857142857	14.2857142857143
chr21.9439019	chr21	9439019	*	14	78.5714285714286	21.4285714285714
chr21.9439022	chr21	9439022	*	14	100	0
chr21.9439220	chr21	9439220	*	141	89.3617021276596	10.6382978723404
chr21.9439238	chr21	9439238	*	141	69.5035460992908	30.4964539007092
chr21.9439247	chr21	9439247	*	140	55	45
chr21.9439293	chr21	9439293	*	100	69	31
chr21.9439318	chr21	9439318	*	100	60	40
chr21.9439337	chr21	9439337	*	100	57	43
chr21.9439340	chr21	9439340	*	100	93	7
chr21.9439348	chr21	9439348	*	0	0	0
chr21.9439362	chr21	9439362	*	0	0	0
chr21.9439385	chr21	9439385	*	0	0	0
chr21.9439388	chr21	9439388	*	0	0	0
chr21.9439393	chr21	9439393	*	0	0	0
chr21.9439395	chr21	9439395	*	0	0	0
chr21.9439570	chr21	9439570	*	0	0	0
chr21.9439591	chr21	9439591	*	0	0	0
chr21.9439599	chr21	9439599	*	91	3.2967032967033	96.7032967032967
chr21.9439635	chr21	9439635	*	237	8.0168776371308	91.9831223628692
chr21.9439716	chr21	9439716	*	244	13.1147540983607	86.8852459016393
chr21.9439724	chr21	9439724	*	244	71.3114754098361	28.6885245901639
chr21.9439740	chr21	9439740	*	244	29.0983606557377	70.9016393442623
chr21.9469080	chr21	9469080	*	0	0	0
chr21.9469121	chr21	9469121	*	0	0	0
chr21.9476854	chr21	9476854	*	57	57.8947368421053	42.1052631578947
chr21.9476862	chr21	9476862	*	57	70.1754385964912	29.8245614035088
chr21.9476866	chr21	9476866	*	57	42.1052631578947	57.8947368421053
chr21.9476886	chr21	9476886	*	125	27.2	72.8
chr21.9476918	chr21	9476918	*	68	0	100
chr21.9483454	chr21	9483454	*	27	22.2222222222222	77.7777777777778
chr21.9483486	chr21	9483486	*	27	100	0
chr21.9483488	chr21	9483488	*	27	100	0
chr21.9483491	chr21	9483491	*	27	96.2962962962963	3.7037037037037
chr21.9483494	chr21	9483494	*	27	92.5925925925926	7.40740740740741
chr21.9483496	chr21	9483496	*	27	85.1851851851852	14.8148148148148
chr21.9483512	chr21	9483512	*	0	0	0
chr21.9483515	chr21	9483515	*	0	0	0
chr21.9483518	chr21	9483518	*	0	0	0
chr21.9483521	chr21	9483521	*	0	0	0
chr21.9483523	chr21	9483523	*	0	0	0
chr21.9483535	chr21	9483535	*	0	0	0
chr21.9483573	chr21	9483573	*	93	96.7741935483871	3.2258064516129
chr21.9483576	chr21	9483576	*	93	100	0
chr21.9483579	chr21	9483579	*	93	100	0
chr21.9483581	chr21	9483581	*	93	100	0
chr21.9483599	chr21	9483599	*	93	96.7741935483871	3.2258064516129
chr21.9483602	chr21	9483602	*	93	91.3978494623656	8.60215053763441
chr21.9483621	chr21	9483621	*	117	88.034188034188	11.965811965812
chr21.9483637	chr21	9483637	*	24	0	100
chr21.9483640	chr21	9483640	*	24	95.8333333333333	4.16666666666667
chr21.9483643	chr21	9483643	*	24	75	25
chr21.9483660	chr21	9483660	*	24	50	50
chr21.9483663	chr21	9483663	*	24	87.5	12.5
chr21.9483666	chr21	9483666	*	24	83.3333333333333	16.6666666666667
chr21.9483668	chr21	9483668	*	24	87.5	12.5
chr21.9483728	chr21	9483728	*	0	0	0
chr21.9483731	chr21	9483731	*	0	0	0
chr21.9483733	chr21	9483733	*	0	0	0
chr21.9483751	chr21	9483751	*	0	0	0
chr21.9483754	chr21	9483754	*	0	0	0
chr21.9483756	chr21	9483756	*	0	0	0
chr21.9483768	chr21	9483768	*	0	0	0
chr21.9483773	chr21	9483773	*	0	0	0
chr21.9540128	chr21	9540128	*	185	9.18918918918919	90.8108108108108
chr21.9540174	chr21	9540174	*	273	15.3846153846154	84.6153846153846
chr21.9540219	chr21	9540219	*	90	4.44444444444444	95.5555555555556
chr21.9540282	chr21	9540282	*	53	13.2075471698113	86.7924528301887
chr21.9540320	chr21	9540320	*	53	37.7358490566038	62.2641509433962
chr21.9540324	chr21	9540324	*	153	49.0196078431373	50.9803921568627
chr21.9540330	chr21	9540330	*	153	53.5947712418301	46.4052287581699
chr21.9540372	chr21	9540372	*	100	39	61
chr21.9540739	chr21	9540739	*	0	0	0
chr21.9540742	chr21	9540742	*	0	0	0
chr21.9540763	chr21	9540763	*	0	0	0
chr21.9540771	chr21	9540771	*	0	0	0
chr21.9541149	chr21	9541149	*	24	70.8333333333333	29.1666666666667
chr21.9541171	chr21	9541171	*	51	37.2549019607843	62.7450980392157
chr21.9541212	chr21	9541212	*	26	61.5384615384615	38.4615384615385
chr21.9545015	chr21	9545015	*	225	14.2222222222222	85.7777777777778
chr21.9574704	chr21	9574704	*	58	6.89655172413793	93.1034482758621
chr21.9574716	chr21	9574716	*	58	5.17241379310345	94.8275862068966
chr21.9593701	chr21	9593701	*	56	0	100
chr21.9593781	chr21	9593781	*	153	9.15032679738562	90.8496732026144
chr21.9647763	chr21	9647763	*	77	77.9220779220779	22.0779220779221
chr21.9647766	chr21	9647766	*	77	57.1428571428571	42.8571428571429
chr21.9647779	chr21	9647779	*	77	76.6233766233766	23.3766233766234
chr21.9647787	chr21	9647787	*	77	81.8181818181818	18.1818181818182
chr21.9647867	chr21	9647867	*	386	81.3471502590674	18.6528497409326
chr21.9647873	chr21	9647873	*	386	76.1658031088083	23.8341968911917
chr21.9647876	chr21	9647876	*	386	85.4922279792746	14.5077720207254
chr21.9647880	chr21	9647880	*	386	65.2849740932643	34.7150259067358
chr21.9647890	chr21	9647890	*	116	75.8620689655172	24.1379310344828
chr21.9647903	chr21	9647903	*	125	80.8	19.2
chr21.9647924	chr21	9647924	*	10	40	60
chr21.9647941	chr21	9647941	*	213	12.2065727699531	87.7934272300469
chr21.9647974	chr21	9647974	*	453	4.19426048565121	95.8057395143488
chr21.9647997	chr21	9647997	*	244	0.819672131147541	99.1803278688525
chr21.9648024	chr21	9648024	*	244	1.63934426229508	98.3606557377049
chr21.9650410	chr21	9650410	*	0	0	0
chr21.9652867	chr21	9652867	*	34	0	100
chr21.9652926	chr21	9652926	*	266	1.50375939849624	98.4962406015038
chr21.9652937	chr21	9652937	*	269	0.743494423791822	99.2565055762082
chr21.9652972	chr21	9652972	*	269	0.743494423791822	99.2565055762082
chr21.9653101	chr21	9653101	*	83	28.9156626506024	71.0843373493976
chr21.9662046	chr21	9662046	*	52	0	100
chr21.9662054	chr21	9662054	*	52	53.8461538461538	46.1538461538462
chr21.9662060	chr21	9662060	*	52	67.3076923076923	32.6923076923077
chr21.9662072	chr21	9662072	*	52	30.7692307692308	69.2307692307692
chr21.9662084	chr21	9662084	*	52	57.6923076923077	42.3076923076923
chr21.9664821	chr21	9664821	*	157	0	100
chr21.9664867	chr21	9664867	*	95	6.31578947368421	93.6842105263158
chr21.9676591	chr21	9676591	*	40	20	80
chr21.9676609	chr21	9676609	*	40	5	95
chr21.9678294	chr21	9678294	*	0	0	0
chr21.9695485	chr21	9695485	*	89	6.74157303370786	93.2584269662921
chr21.9696110	chr21	9696110	*	23	69.5652173913043	30.4347826086957
chr21.9699571	chr21	9699571	*	15	0	100
chr21.9699585	chr21	9699585	*	15	46.6666666666667	53.3333333333333
chr21.9699607	chr21	9699607	*	15	13.3333333333333	86.6666666666667
chr21.9700244	chr21	9700244	*	0	0	0
chr21.9700274	chr21	9700274	*	0	0	0
chr21.9700296	chr21	9700296	*	0	0	0
chr21.9700320	chr21	9700320	*	0	0	0
chr21.9700395	chr21	9700395	*	0	0	0
chr21.9701263	chr21	9701263	*	17	29.4117647058824	70.5882352941177
chr21.9701281	chr21	9701281	*	17	11.7647058823529	88.2352941176471
chr21.9701496	chr21	9701496	*	55	7.27272727272727	92.7272727272727
chr21.9701527	chr21	9701527	*	56	0	100
chr21.9701531	chr21	9701531	*	55	3.63636363636364	96.3636363636364
chr21.9704093	chr21	9704093	*	0	0	0
chr21.9704111	chr21	9704111	*	0	0	0
chr21.9704137	chr21	9704137	*	0	0	0
chr21.9704143	chr21	9704143	*	0	0	0
chr21.9704243	chr21	9704243	*	0	0	0
chr21.9704246	chr21	9704246	*	0	0	0
chr21.9704263	chr21	9704263	*	0	0	0
chr21.9704269	chr21	9704269	*	0	0	0
chr21.9704272	chr21	9704272	*	0	0	0
chr21.9704275	chr21	9704275	*	0	0	0
chr21.9704292	chr21	9704292	*	0	0	0
chr21.9708838	chr21	9708838	*	91	15.3846153846154	84.6153846153846
chr21.9708881	chr21	9708881	*	91	7.69230769230769	92.3076923076923
chr21.9708883	chr21	9708883	*	91	8.79120879120879	91.2087912087912
chr21.9708895	chr21	9708895	*	101	5.94059405940594	94.059405940594
chr21.9708936	chr21	9708936	*	101	2.97029702970297	97.029702970297
chr21.9708939	chr21	9708939	*	101	15.8415841584158	84.1584158415842
chr21.9708982	chr21	9708982	*	37	21.6216216216216	78.3783783783784
chr21.9708995	chr21	9708995	*	37	29.7297297297297	70.2702702702703
chr21.9709006	chr21	9709006	*	37	48.6486486486487	51.3513513513513
chr21.9709019	chr21	9709019	*	37	72.972972972973	27.027027027027
chr21.9709141	chr21	9709141	*	82	1.21951219512195	98.780487804878
chr21.9709149	chr21	9709149	*	82	8.53658536585366	91.4634146341463
chr21.9709161	chr21	9709161	*	76	31.5789473684211	68.4210526315789
chr21.9709173	chr21	9709173	*	82	89.0243902439024	10.9756097560976
chr21.9709175	chr21	9709175	*	82	93.9024390243902	6.09756097560976
chr21.9709187	chr21	9709187	*	82	98.780487804878	1.21951219512195
chr21.9825532	chr21	9825532	*	13	7.69230769230769	92.3076923076923
chr21.9825539	chr21	9825539	*	168	29.1666666666667	70.8333333333333
chr21.9825546	chr21	9825546	*	156	30.1282051282051	69.8717948717949
chr21.9825550	chr21	9825550	*	159	30.188679245283	69.811320754717
chr21.9825698	chr21	9825698	*	153	51.6339869281046	48.3660130718954
chr21.9825702	chr21	9825702	*	153	60.7843137254902	39.2156862745098
chr21.9825704	chr21	9825704	*	114	59.6491228070175	40.3508771929825
chr21.9825711	chr21	9825711	*	162	59.8765432098765	40.1234567901235
