chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43008527	chr21	43008527	F	32	100	0
chr21.43008531	chr21	43008531	F	32	96.88	3.12
chr21.43008543	chr21	43008543	F	32	90.62	9.38
chr21.43008674	chr21	43008674	R	27	100	0
chr21.43008710	chr21	43008710	R	67	94.03	5.97
chr21.43008720	chr21	43008720	R	67	92.54	7.46
chr21.43016439	chr21	43016439	F	55	92.73	7.27
chr21.43016518	chr21	43016518	R	34	88.24	11.76
chr21.43018213	chr21	43018213	F	33	93.94	6.06
chr21.43018275	chr21	43018275	R	12	100	0
chr21.43018282	chr21	43018282	R	14	100	0
chr21.43018293	chr21	43018293	R	14	100	0
chr21.43018713	chr21	43018713	F	17	94.12	5.88
chr21.43018755	chr21	43018755	F	13	92.31	7.69
chr21.43019016	chr21	43019016	R	11	100	0
chr21.43019018	chr21	43019018	R	11	100	0
chr21.43025549	chr21	43025549	R	28	92.86	7.14
chr21.43025557	chr21	43025557	R	30	100	0
chr21.43025573	chr21	43025573	F	14	100	0
chr21.43025573	chr21	43025573	R	30	100	0
chr21.43028428	chr21	43028428	R	13	100	0
chr21.43031367	chr21	43031367	R	13	0	100
chr21.43031374	chr21	43031374	R	15	0	100
chr21.43031390	chr21	43031390	R	15	0	100
chr21.43031390	chr21	43031390	F	41	4.88	95.12
chr21.43031474	chr21	43031474	R	41	4.88	95.12
chr21.43031604	chr21	43031604	F	29	3.45	96.55
chr21.43031604	chr21	43031604	R	44	2.27	97.73
chr21.43031681	chr21	43031681	R	27	0	100
chr21.43031693	chr21	43031693	R	32	0	100
chr21.43031710	chr21	43031710	R	32	0	100
chr21.43034558	chr21	43034558	F	14	100	0
chr21.43034601	chr21	43034601	R	10	100	0
chr21.43034606	chr21	43034606	R	12	100	0
chr21.43035769	chr21	43035769	R	10	90	10
chr21.43035806	chr21	43035806	R	13	84.62	15.38
chr21.43035996	chr21	43035996	R	12	0	100
chr21.43037069	chr21	43037069	F	33	69.7	30.3
chr21.43037089	chr21	43037089	F	49	100	0
chr21.43037244	chr21	43037244	R	19	100	0
chr21.43037253	chr21	43037253	R	19	100	0
chr21.43037297	chr21	43037297	R	10	90	10
chr21.43037335	chr21	43037335	R	11	100	0
chr21.43038092	chr21	43038092	R	22	100	0
chr21.43038092	chr21	43038092	F	36	100	0
chr21.43038111	chr21	43038111	F	36	100	0
chr21.43038177	chr21	43038177	F	42	100	0
chr21.43038177	chr21	43038177	R	84	94.05	5.95
chr21.43038268	chr21	43038268	F	10	100	0
chr21.43040277	chr21	43040277	F	19	15.79	84.21
chr21.43040280	chr21	43040280	F	19	0	100
chr21.43040460	chr21	43040460	R	28	78.57	21.43
chr21.43044609	chr21	43044609	R	12	100	0
chr21.43044625	chr21	43044625	R	12	100	0
chr21.43044668	chr21	43044668	F	14	64.29	35.71
chr21.43044868	chr21	43044868	F	14	100	0
chr21.43044876	chr21	43044876	F	14	100	0
chr21.43044883	chr21	43044883	F	14	100	0
chr21.43045074	chr21	43045074	R	15	100	0
chr21.43045383	chr21	43045383	R	16	93.75	6.25
chr21.43045397	chr21	43045397	R	20	100	0
chr21.43047686	chr21	43047686	R	14	100	0
chr21.43052356	chr21	43052356	R	15	100	0
chr21.43054272	chr21	43054272	F	24	95.83	4.17
chr21.43054272	chr21	43054272	R	72	88.89	11.11
chr21.43059691	chr21	43059691	R	18	100	0
chr21.43060439	chr21	43060439	F	41	97.56	2.44
chr21.43060507	chr21	43060507	R	103	89.32	10.68
chr21.43060527	chr21	43060527	F	14	100	0
chr21.43060527	chr21	43060527	R	103	96.12	3.88
chr21.43060566	chr21	43060566	F	62	100	0
chr21.43060775	chr21	43060775	F	24	91.67	8.33
chr21.43060884	chr21	43060884	R	86	91.86	8.14
chr21.43060884	chr21	43060884	F	13	100	0
chr21.43060901	chr21	43060901	F	13	100	0
chr21.43060906	chr21	43060906	F	13	100	0
chr21.43063152	chr21	43063152	R	23	100	0
chr21.43063158	chr21	43063158	R	23	100	0
chr21.43063214	chr21	43063214	R	10	100	0
chr21.43063570	chr21	43063570	R	10	90	10
chr21.43063725	chr21	43063725	R	18	77.78	22.22
chr21.43063749	chr21	43063749	R	19	100	0
chr21.43064447	chr21	43064447	F	54	87.04	12.96
chr21.43064572	chr21	43064572	F	12	100	0
chr21.43064705	chr21	43064705	R	109	97.25	2.75
chr21.43066966	chr21	43066966	R	23	86.96	13.04
chr21.43066974	chr21	43066974	R	29	100	0
chr21.43067005	chr21	43067005	R	22	100	0
chr21.43067099	chr21	43067099	R	10	100	0
chr21.43067140	chr21	43067140	R	12	100	0
chr21.43071610	chr21	43071610	F	43	6.98	93.02
chr21.43071703	chr21	43071703	R	25	24	76
chr21.43074581	chr21	43074581	F	11	72.73	27.27
chr21.43074601	chr21	43074601	F	11	72.73	27.27
chr21.43074603	chr21	43074603	F	11	72.73	27.27
chr21.43074605	chr21	43074605	F	11	72.73	27.27
chr21.43074659	chr21	43074659	R	10	20	80
chr21.43074667	chr21	43074667	R	10	20	80
chr21.43074683	chr21	43074683	R	15	40	60
chr21.43074694	chr21	43074694	R	17	41.18	58.82
chr21.43074702	chr21	43074702	R	17	41.18	58.82
chr21.43074898	chr21	43074898	R	16	12.5	87.5
chr21.43074900	chr21	43074900	R	16	6.25	93.75
chr21.43074905	chr21	43074905	R	16	18.75	81.25
chr21.43077189	chr21	43077189	R	11	0	100
chr21.43078237	chr21	43078237	F	24	100	0
chr21.43078332	chr21	43078332	R	23	100	0
chr21.43078346	chr21	43078346	R	23	95.65	4.35
chr21.43078352	chr21	43078352	R	23	95.65	4.35
chr21.43078531	chr21	43078531	R	11	100	0
chr21.43078546	chr21	43078546	R	11	100	0
chr21.43083146	chr21	43083146	R	18	83.33	16.67
chr21.43083176	chr21	43083176	R	19	100	0
chr21.43095960	chr21	43095960	F	93	88.17	11.83
chr21.43097654	chr21	43097654	F	26	96.15	3.85
chr21.43100199	chr21	43100199	F	13	23.08	76.92
chr21.43100236	chr21	43100236	F	12	16.67	83.33
chr21.43114397	chr21	43114397	F	12	100	0
chr21.43127705	chr21	43127705	R	12	91.67	8.33
chr21.43127714	chr21	43127714	R	12	75	25
chr21.43131232	chr21	43131232	F	16	93.75	6.25
chr21.43131249	chr21	43131249	F	17	100	0
chr21.43134936	chr21	43134936	F	15	100	0
chr21.43134946	chr21	43134946	F	16	100	0
chr21.43134951	chr21	43134951	F	16	100	0
chr21.43135094	chr21	43135094	R	23	100	0
chr21.43135094	chr21	43135094	F	41	100	0
chr21.43135841	chr21	43135841	F	11	100	0
chr21.43136200	chr21	43136200	R	13	100	0
chr21.43137863	chr21	43137863	F	14	92.86	7.14
chr21.43137880	chr21	43137880	F	14	100	0
chr21.43143365	chr21	43143365	R	25	100	0
chr21.43143371	chr21	43143371	R	33	90.91	9.09
