chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9437432	chr21	9437432	*	23	100	0
chr21.9437444	chr21	9437444	*	23	100	0
chr21.9437458	chr21	9437458	*	23	100	0
chr21.9437461	chr21	9437461	*	23	86.9565217391304	13.0434782608696
chr21.9437464	chr21	9437464	*	23	95.6521739130435	4.34782608695652
chr21.9437470	chr21	9437470	*	14	100	0
chr21.9437472	chr21	9437472	*	23	65.2173913043478	34.7826086956522
chr21.9437488	chr21	9437488	*	43	69.7674418604651	30.2325581395349
chr21.9437516	chr21	9437516	*	43	90.6976744186046	9.30232558139535
chr21.9437518	chr21	9437518	*	43	100	0
chr21.9437530	chr21	9437530	*	43	97.6744186046512	2.32558139534884
chr21.9437532	chr21	9437532	*	43	90.6976744186046	9.30232558139535
chr21.9437535	chr21	9437535	*	43	100	0
chr21.9437538	chr21	9437538	*	43	97.6744186046512	2.32558139534884
chr21.9438049	chr21	9438049	*	99	74.7474747474748	25.2525252525253
chr21.9438055	chr21	9438055	*	99	0	100
chr21.9438065	chr21	9438065	*	99	63.6363636363636	36.3636363636364
chr21.9438071	chr21	9438071	*	99	71.7171717171717	28.2828282828283
chr21.9438073	chr21	9438073	*	99	82.8282828282828	17.1717171717172
chr21.9438090	chr21	9438090	*	99	100	0
chr21.9438093	chr21	9438093	*	99	26.2626262626263	73.7373737373737
chr21.9438095	chr21	9438095	*	99	96.969696969697	3.03030303030303
chr21.9438339	chr21	9438339	*	38	94.7368421052632	5.26315789473684
chr21.9438353	chr21	9438353	*	38	89.4736842105263	10.5263157894737
chr21.9438359	chr21	9438359	*	38	84.2105263157895	15.7894736842105
chr21.9438362	chr21	9438362	*	38	94.7368421052632	5.26315789473684
chr21.9438365	chr21	9438365	*	38	97.3684210526316	2.63157894736842
chr21.9438367	chr21	9438367	*	38	97.3684210526316	2.63157894736842
chr21.9438378	chr21	9438378	*	38	89.4736842105263	10.5263157894737
chr21.9438381	chr21	9438381	*	38	76.3157894736842	23.6842105263158
chr21.9438384	chr21	9438384	*	38	100	0
chr21.9438390	chr21	9438390	*	37	94.5945945945946	5.40540540540541
chr21.9438974	chr21	9438974	*	67	91.044776119403	8.95522388059701
chr21.9438990	chr21	9438990	*	67	71.6417910447761	28.3582089552239
chr21.9438993	chr21	9438993	*	67	86.5671641791045	13.4328358208955
chr21.9438996	chr21	9438996	*	67	52.2388059701493	47.7611940298507
chr21.9439011	chr21	9439011	*	67	94.0298507462687	5.97014925373134
chr21.9439017	chr21	9439017	*	67	100	0
chr21.9439019	chr21	9439019	*	67	98.5074626865672	1.49253731343284
chr21.9439022	chr21	9439022	*	67	65.6716417910448	34.3283582089552
chr21.9439220	chr21	9439220	*	133	84.9624060150376	15.0375939849624
chr21.9439238	chr21	9439238	*	133	80.4511278195489	19.5488721804511
chr21.9439247	chr21	9439247	*	131	54.9618320610687	45.0381679389313
chr21.9439293	chr21	9439293	*	88	72.7272727272727	27.2727272727273
chr21.9439318	chr21	9439318	*	88	35.2272727272727	64.7727272727273
chr21.9439337	chr21	9439337	*	88	32.9545454545455	67.0454545454545
chr21.9439340	chr21	9439340	*	88	42.0454545454545	57.9545454545455
chr21.9439348	chr21	9439348	*	54	55.5555555555556	44.4444444444444
chr21.9439362	chr21	9439362	*	55	12.7272727272727	87.2727272727273
chr21.9439385	chr21	9439385	*	55	47.2727272727273	52.7272727272727
chr21.9439388	chr21	9439388	*	55	45.4545454545455	54.5454545454545
chr21.9439393	chr21	9439393	*	55	56.3636363636364	43.6363636363636
chr21.9439395	chr21	9439395	*	55	41.8181818181818	58.1818181818182
chr21.9439570	chr21	9439570	*	32	15.625	84.375
chr21.9439591	chr21	9439591	*	32	6.25	93.75
chr21.9439599	chr21	9439599	*	159	0.628930817610063	99.3710691823899
chr21.9439635	chr21	9439635	*	252	3.57142857142857	96.4285714285714
chr21.9439716	chr21	9439716	*	234	19.2307692307692	80.7692307692308
chr21.9439724	chr21	9439724	*	232	42.2413793103448	57.7586206896552
chr21.9439740	chr21	9439740	*	232	26.7241379310345	73.2758620689655
chr21.9469080	chr21	9469080	*	0	0	0
chr21.9469121	chr21	9469121	*	0	0	0
chr21.9476854	chr21	9476854	*	56	17.8571428571429	82.1428571428571
chr21.9476862	chr21	9476862	*	56	16.0714285714286	83.9285714285714
chr21.9476866	chr21	9476866	*	56	21.4285714285714	78.5714285714286
chr21.9476886	chr21	9476886	*	103	0.970873786407767	99.0291262135922
chr21.9476918	chr21	9476918	*	47	0	100
chr21.9483454	chr21	9483454	*	48	27.0833333333333	72.9166666666667
chr21.9483486	chr21	9483486	*	48	100	0
chr21.9483488	chr21	9483488	*	48	93.75	6.25
