chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43000821	chr21	43000821	R	11	100	0
chr21.43008527	chr21	43008527	F	108	96.3	3.7
chr21.43008531	chr21	43008531	F	104	91.35	8.65
chr21.43008543	chr21	43008543	F	105	91.43	8.57
chr21.43008666	chr21	43008666	R	162	96.3	3.7
chr21.43008674	chr21	43008674	R	162	99.38	0.62
chr21.43008710	chr21	43008710	R	163	95.71	4.29
chr21.43008720	chr21	43008720	R	165	95.76	4.24
chr21.43014041	chr21	43014041	F	203	97.54	2.46
chr21.43014044	chr21	43014044	F	203	96.55	3.45
chr21.43014076	chr21	43014076	R	46	93.48	6.52
chr21.43014076	chr21	43014076	F	202	94.06	5.94
chr21.43014108	chr21	43014108	R	47	95.74	4.26
chr21.43016439	chr21	43016439	F	33	100	0
chr21.43016518	chr21	43016518	R	92	93.48	6.52
chr21.43018213	chr21	43018213	F	28	100	0
chr21.43018275	chr21	43018275	R	149	94.63	5.37
chr21.43018282	chr21	43018282	R	149	93.29	6.71
chr21.43018293	chr21	43018293	R	150	99.33	0.67
chr21.43018713	chr21	43018713	F	15	100	0
chr21.43018755	chr21	43018755	F	15	93.33	6.67
chr21.43018833	chr21	43018833	R	25	92	8
chr21.43018941	chr21	43018941	R	38	100	0
chr21.43018972	chr21	43018972	R	38	94.74	5.26
chr21.43024776	chr21	43024776	F	29	96.55	3.45
chr21.43024801	chr21	43024801	F	29	79.31	20.69
chr21.43024811	chr21	43024811	F	28	92.86	7.14
chr21.43024814	chr21	43024814	F	28	96.43	3.57
chr21.43024825	chr21	43024825	F	28	89.29	10.71
chr21.43025014	chr21	43025014	R	100	92	8
chr21.43025038	chr21	43025038	R	101	99.01	0.99
chr21.43025397	chr21	43025397	F	118	96.61	3.39
chr21.43025404	chr21	43025404	F	117	95.73	4.27
chr21.43025436	chr21	43025436	F	116	93.1	6.9
chr21.43025440	chr21	43025440	F	116	100	0
chr21.43025549	chr21	43025549	R	28	100	0
chr21.43025557	chr21	43025557	R	29	96.55	3.45
chr21.43025573	chr21	43025573	F	21	95.24	4.76
chr21.43025573	chr21	43025573	R	29	100	0
chr21.43025782	chr21	43025782	R	11	100	0
chr21.43025815	chr21	43025815	R	11	100	0
chr21.43028384	chr21	43028384	R	15	80	20
chr21.43028428	chr21	43028428	R	15	100	0
chr21.43031390	chr21	43031390	F	21	14.29	85.71
chr21.43031474	chr21	43031474	R	93	2.15	97.85
chr21.43031604	chr21	43031604	F	38	15.79	84.21
chr21.43031604	chr21	43031604	R	73	15.07	84.93
chr21.43031666	chr21	43031666	R	119	4.2	95.8
chr21.43031681	chr21	43031681	R	128	10.94	89.06
chr21.43031693	chr21	43031693	R	129	10.08	89.92
chr21.43031710	chr21	43031710	R	130	10.77	89.23
chr21.43031957	chr21	43031957	F	142	92.25	7.75
chr21.43031957	chr21	43031957	R	12	83.33	16.67
chr21.43031976	chr21	43031976	F	142	92.25	7.75
chr21.43032571	chr21	43032571	F	81	98.77	1.23
chr21.43032613	chr21	43032613	R	37	91.89	8.11
chr21.43034558	chr21	43034558	F	19	100	0
chr21.43034601	chr21	43034601	F	19	94.74	5.26
chr21.43034606	chr21	43034606	F	19	100	0
chr21.43034659	chr21	43034659	R	43	90.7	9.3
chr21.43034668	chr21	43034668	R	44	95.45	4.55
chr21.43034674	chr21	43034674	R	45	95.56	4.44
chr21.43034705	chr21	43034705	F	17	100	0
chr21.43034705	chr21	43034705	R	45	100	0
chr21.43034843	chr21	43034843	F	36	97.22	2.78
chr21.43034880	chr21	43034880	F	35	91.43	8.57
chr21.43034880	chr21	43034880	R	69	97.1	2.9
chr21.43034885	chr21	43034885	F	36	91.67	8.33
chr21.43034885	chr21	43034885	R	72	98.61	1.39
chr21.43034896	chr21	43034896	F	56	100	0
chr21.43034896	chr21	43034896	R	100	70	30
chr21.43034953	chr21	43034953	R	29	96.55	3.45
chr21.43035769	chr21	43035769	R	161	93.17	6.83
chr21.43035806	chr21	43035806	R	161	95.65	4.35
chr21.43036710	chr21	43036710	F	29	89.66	10.34
chr21.43036720	chr21	43036720	F	29	93.1	6.9
chr21.43036731	chr21	43036731	F	27	92.59	7.41
chr21.43036740	chr21	43036740	F	29	89.66	10.34
chr21.43036753	chr21	43036753	F	25	92	8
chr21.43037069	chr21	43037069	F	254	95.28	4.72
chr21.43037089	chr21	43037089	F	253	98.02	1.98
chr21.43037200	chr21	43037200	R	47	95.74	4.26
chr21.43037244	chr21	43037244	R	52	94.23	5.77
chr21.43037253	chr21	43037253	R	52	100	0
chr21.43037297	chr21	43037297	R	46	89.13	10.87
chr21.43037335	chr21	43037335	R	46	97.83	2.17
chr21.43037723	chr21	43037723	F	53	98.11	1.89
chr21.43037762	chr21	43037762	F	52	71.15	28.85
chr21.43037942	chr21	43037942	R	35	88.57	11.43
chr21.43037957	chr21	43037957	R	35	97.14	2.86
chr21.43037981	chr21	43037981	R	35	94.29	5.71
chr21.43037981	chr21	43037981	F	66	96.97	3.03
chr21.43037998	chr21	43037998	F	65	98.46	1.54
chr21.43038001	chr21	43038001	F	64	98.44	1.56
chr21.43038019	chr21	43038019	F	50	0	100
chr21.43038046	chr21	43038046	R	21	100	0
chr21.43038050	chr21	43038050	R	21	90.48	9.52
chr21.43038092	chr21	43038092	R	21	100	0
chr21.43038092	chr21	43038092	F	85	100	0
chr21.43038111	chr21	43038111	F	85	94.12	5.88
chr21.43038177	chr21	43038177	R	124	95.97	4.03
chr21.43038177	chr21	43038177	F	124	90.32	9.68
chr21.43038362	chr21	43038362	R	30	63.33	36.67
chr21.43038365	chr21	43038365	R	30	63.33	36.67
chr21.43038393	chr21	43038393	R	30	70	30
chr21.43038393	chr21	43038393	F	30	60	40
