chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43000565	chr21	43000565	R	13	100	0
chr21.43014041	chr21	43014041	F	228	100	0
chr21.43014044	chr21	43014044	F	228	95.61	4.39
chr21.43014076	chr21	43014076	F	227	97.36	2.64
chr21.43016439	chr21	43016439	F	119	100	0
chr21.43016518	chr21	43016518	R	33	90.91	9.09
chr21.43018213	chr21	43018213	F	76	93.42	6.58
chr21.43018275	chr21	43018275	R	157	97.45	2.55
chr21.43018282	chr21	43018282	R	155	86.45	13.55
chr21.43018293	chr21	43018293	R	158	93.67	6.33
chr21.43018713	chr21	43018713	F	10	100	0
chr21.43018755	chr21	43018755	F	10	100	0
chr21.43018798	chr21	43018798	R	48	85.42	14.58
chr21.43018833	chr21	43018833	R	52	94.23	5.77
chr21.43025397	chr21	43025397	F	13	100	0
chr21.43025404	chr21	43025404	F	13	100	0
chr21.43025436	chr21	43025436	F	11	100	0
chr21.43025440	chr21	43025440	F	13	100	0
chr21.43025549	chr21	43025549	R	10	100	0
chr21.43025557	chr21	43025557	R	10	100	0
chr21.43025573	chr21	43025573	R	10	100	0
chr21.43031474	chr21	43031474	R	60	0	100
chr21.43031604	chr21	43031604	F	35	2.86	97.14
chr21.43031604	chr21	43031604	R	21	0	100
chr21.43031681	chr21	43031681	R	91	0	100
chr21.43031693	chr21	43031693	R	90	0	100
chr21.43031710	chr21	43031710	R	91	0	100
chr21.43032571	chr21	43032571	F	31	96.77	3.23
chr21.43034659	chr21	43034659	R	21	85.71	14.29
chr21.43034668	chr21	43034668	R	22	100	0
chr21.43034674	chr21	43034674	R	23	100	0
chr21.43034705	chr21	43034705	F	14	100	0
chr21.43034705	chr21	43034705	R	23	100	0
chr21.43034843	chr21	43034843	F	95	96.84	3.16
chr21.43034880	chr21	43034880	F	92	92.39	7.61
chr21.43034880	chr21	43034880	R	55	100	0
chr21.43034885	chr21	43034885	F	93	98.92	1.08
chr21.43034885	chr21	43034885	R	55	100	0
chr21.43034896	chr21	43034896	F	70	97.14	2.86
chr21.43034896	chr21	43034896	R	55	100	0
chr21.43034953	chr21	43034953	R	149	90.6	9.4
chr21.43035769	chr21	43035769	R	326	94.48	5.52
chr21.43035806	chr21	43035806	R	338	98.82	1.18
chr21.43037069	chr21	43037069	F	20	100	0
chr21.43037089	chr21	43037089	F	20	60	40
chr21.43037297	chr21	43037297	R	85	94.12	5.88
chr21.43037335	chr21	43037335	R	85	98.82	1.18
chr21.43037981	chr21	43037981	F	106	96.23	3.77
chr21.43037998	chr21	43037998	F	109	92.66	7.34
chr21.43038046	chr21	43038046	R	36	88.89	11.11
chr21.43038050	chr21	43038050	R	36	94.44	5.56
chr21.43038092	chr21	43038092	R	36	100	0
chr21.43038092	chr21	43038092	F	77	98.7	1.3
chr21.43038111	chr21	43038111	F	77	84.42	15.58
chr21.43038177	chr21	43038177	R	321	94.39	5.61
chr21.43044868	chr21	43044868	F	11	90.91	9.09
chr21.43044876	chr21	43044876	F	11	100	0
chr21.43044883	chr21	43044883	F	11	100	0
chr21.43047566	chr21	43047566	F	86	93.02	6.98
chr21.43047578	chr21	43047578	F	87	89.66	10.34
chr21.43047686	chr21	43047686	R	20	100	0
chr21.43052356	chr21	43052356	R	15	100	0
chr21.43053230	chr21	43053230	F	205	86.83	13.17
chr21.43053297	chr21	43053297	R	108	94.44	5.56
chr21.43054272	chr21	43054272	F	14	100	0
chr21.43054353	chr21	43054353	R	120	96.67	3.33
chr21.43054370	chr21	43054370	R	127	98.43	1.57
chr21.43054373	chr21	43054373	R	127	97.64	2.36
chr21.43054877	chr21	43054877	R	381	80.58	19.42
chr21.43060439	chr21	43060439	F	85	94.12	5.88
chr21.43060507	chr21	43060507	R	328	98.17	1.83
chr21.43060527	chr21	43060527	R	334	98.2	1.8
chr21.43060566	chr21	43060566	R	18	100	0
chr21.43060566	chr21	43060566	F	66	95.45	4.55
chr21.43060775	chr21	43060775	F	11	100	0
chr21.43060884	chr21	43060884	R	78	97.44	2.56
chr21.43060884	chr21	43060884	F	89	88.76	11.24
chr21.43060901	chr21	43060901	F	86	89.53	10.47
