chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43008527	chr21	43008527	F	93	100	0
chr21.43008531	chr21	43008531	F	93	100	0
chr21.43008543	chr21	43008543	F	93	100	0
chr21.43008666	chr21	43008666	R	178	100	0
chr21.43008674	chr21	43008674	R	178	87.64	12.36
chr21.43008710	chr21	43008710	R	184	100	0
chr21.43014041	chr21	43014041	F	155	87.1	12.9
chr21.43014044	chr21	43014044	F	153	71.9	28.1
chr21.43014076	chr21	43014076	R	84	85.71	14.29
chr21.43014076	chr21	43014076	F	155	81.94	18.06
chr21.43014108	chr21	43014108	R	84	100	0
chr21.43016439	chr21	43016439	F	47	97.87	2.13
chr21.43016518	chr21	43016518	R	55	100	0
chr21.43016518	chr21	43016518	F	11	100	0
chr21.43018213	chr21	43018213	F	46	67.39	32.61
chr21.43018275	chr21	43018275	R	93	100	0
chr21.43018282	chr21	43018282	R	93	88.17	11.83
chr21.43018293	chr21	43018293	R	93	100	0
chr21.43018713	chr21	43018713	F	36	100	0
chr21.43018755	chr21	43018755	F	38	81.58	18.42
chr21.43018798	chr21	43018798	R	20	100	0
chr21.43018833	chr21	43018833	R	22	100	0
chr21.43018941	chr21	43018941	R	12	100	0
chr21.43018972	chr21	43018972	R	12	100	0
chr21.43025014	chr21	43025014	R	11	100	0
chr21.43025038	chr21	43025038	R	12	83.33	16.67
chr21.43025397	chr21	43025397	F	209	100	0
chr21.43025404	chr21	43025404	F	209	100	0
chr21.43025436	chr21	43025436	F	204	85.29	14.71
chr21.43025440	chr21	43025440	F	205	100	0
chr21.43025549	chr21	43025549	R	18	100	0
chr21.43025557	chr21	43025557	R	18	100	0
chr21.43025573	chr21	43025573	F	24	100	0
chr21.43025573	chr21	43025573	R	18	100	0
chr21.43028384	chr21	43028384	R	25	100	0
chr21.43028428	chr21	43028428	R	26	100	0
chr21.43029752	chr21	43029752	F	10	100	0
chr21.43030031	chr21	43030031	R	16	100	0
chr21.43030345	chr21	43030345	R	14	100	0
chr21.43031367	chr21	43031367	R	22	100	0
chr21.43031374	chr21	43031374	R	22	0	100
chr21.43031390	chr21	43031390	R	21	100	0
chr21.43031390	chr21	43031390	F	46	13.04	86.96
chr21.43031474	chr21	43031474	F	10	0	100
chr21.43031474	chr21	43031474	R	61	0	100
chr21.43031489	chr21	43031489	F	10	0	100
chr21.43031604	chr21	43031604	F	34	35.29	64.71
chr21.43031604	chr21	43031604	R	49	63.27	36.73
chr21.43031666	chr21	43031666	R	44	27.27	72.73
chr21.43031681	chr21	43031681	R	46	26.09	73.91
chr21.43031693	chr21	43031693	R	46	26.09	73.91
chr21.43031710	chr21	43031710	R	47	25.53	74.47
chr21.43031957	chr21	43031957	F	133	98.5	1.5
chr21.43031976	chr21	43031976	F	133	100	0
chr21.43031976	chr21	43031976	R	11	100	0
chr21.43032022	chr21	43032022	R	11	100	0
chr21.43032571	chr21	43032571	F	70	97.14	2.86
chr21.43032613	chr21	43032613	R	49	87.76	12.24
chr21.43034550	chr21	43034550	R	13	100	0
chr21.43034558	chr21	43034558	R	13	100	0
chr21.43034558	chr21	43034558	F	45	100	0
chr21.43034601	chr21	43034601	F	44	84.09	15.91
chr21.43034606	chr21	43034606	F	44	93.18	6.82
chr21.43034641	chr21	43034641	F	15	100	0
chr21.43034659	chr21	43034659	F	15	100	0
chr21.43034659	chr21	43034659	R	92	100	0
chr21.43034668	chr21	43034668	F	15	100	0
chr21.43034668	chr21	43034668	R	93	94.62	5.38
chr21.43034674	chr21	43034674	R	93	95.7	4.3
chr21.43034705	chr21	43034705	F	48	100	0
chr21.43034705	chr21	43034705	R	94	100	0
chr21.43034843	chr21	43034843	F	21	95.24	4.76
chr21.43034880	chr21	43034880	F	17	100	0
chr21.43034880	chr21	43034880	R	87	64.37	35.63
chr21.43034885	chr21	43034885	F	20	75	25
chr21.43034885	chr21	43034885	R	92	61.96	38.04
chr21.43034896	chr21	43034896	R	112	56.25	43.75
chr21.43034953	chr21	43034953	R	19	100	0
chr21.43035769	chr21	43035769	R	135	99.26	0.74
chr21.43035806	chr21	43035806	R	134	94.03	5.97
chr21.43036710	chr21	43036710	F	26	100	0
chr21.43036720	chr21	43036720	F	26	100	0
chr21.43036731	chr21	43036731	F	26	100	0
chr21.43036740	chr21	43036740	F	26	100	0
chr21.43036753	chr21	43036753	F	24	100	0
chr21.43037069	chr21	43037069	F	173	100	0
chr21.43037089	chr21	43037089	F	181	83.43	16.57
chr21.43037200	chr21	43037200	R	32	75	25
chr21.43037244	chr21	43037244	R	30	73.33	26.67
chr21.43037253	chr21	43037253	R	30	73.33	26.67
chr21.43037297	chr21	43037297	R	64	82.81	17.19
chr21.43037335	chr21	43037335	R	64	95.31	4.69
chr21.43037381	chr21	43037381	R	15	100	0
chr21.43037437	chr21	43037437	R	16	100	0
chr21.43037575	chr21	43037575	F	10	100	0
chr21.43037723	chr21	43037723	F	52	78.85	21.15
