chrBase	chr	base	strand	coverage	freqC	freqT
chr21.43008527	chr21	43008527	F	95	100	0
chr21.43008531	chr21	43008531	F	94	100	0
chr21.43008543	chr21	43008543	F	94	86.17	13.83
chr21.43008666	chr21	43008666	R	148	100	0
chr21.43008674	chr21	43008674	R	146	100	0
chr21.43008710	chr21	43008710	R	149	100	0
chr21.43008720	chr21	43008720	R	149	100	0
chr21.43014041	chr21	43014041	F	136	97.06	2.94
chr21.43014044	chr21	43014044	F	136	88.97	11.03
chr21.43014076	chr21	43014076	R	81	100	0
chr21.43014108	chr21	43014108	R	80	87.5	12.5
chr21.43016439	chr21	43016439	F	44	100	0
chr21.43016518	chr21	43016518	R	82	93.9	6.1
chr21.43018171	chr21	43018171	R	17	100	0
chr21.43018213	chr21	43018213	F	83	90.36	9.64
chr21.43018213	chr21	43018213	R	17	100	0
chr21.43018275	chr21	43018275	R	74	93.24	6.76
chr21.43018282	chr21	43018282	R	75	92	8
chr21.43018293	chr21	43018293	R	74	93.24	6.76
chr21.43018713	chr21	43018713	F	26	100	0
chr21.43018755	chr21	43018755	F	26	88.46	11.54
chr21.43018798	chr21	43018798	R	85	100	0
chr21.43018833	chr21	43018833	R	81	90.12	9.88
chr21.43018941	chr21	43018941	R	22	100	0
chr21.43018972	chr21	43018972	R	22	100	0
chr21.43024776	chr21	43024776	F	25	100	0
chr21.43024801	chr21	43024801	F	25	100	0
chr21.43024811	chr21	43024811	F	25	100	0
chr21.43024814	chr21	43024814	F	25	100	0
chr21.43024825	chr21	43024825	F	25	100	0
chr21.43025014	chr21	43025014	R	109	99.08	0.92
chr21.43025038	chr21	43025038	R	111	99.1	0.9
chr21.43025397	chr21	43025397	F	174	86.21	13.79
chr21.43025404	chr21	43025404	F	173	87.28	12.72
chr21.43025436	chr21	43025436	F	170	85.88	14.12
chr21.43025440	chr21	43025440	F	173	86.13	13.87
chr21.43025549	chr21	43025549	R	33	100	0
chr21.43025557	chr21	43025557	R	33	100	0
chr21.43025573	chr21	43025573	F	11	100	0
chr21.43025573	chr21	43025573	R	33	66.67	33.33
chr21.43031390	chr21	43031390	F	38	0	100
chr21.43031474	chr21	43031474	R	49	0	100
chr21.43031604	chr21	43031604	F	29	31.03	68.97
chr21.43031604	chr21	43031604	R	35	14.29	85.71
chr21.43031666	chr21	43031666	R	79	20.25	79.75
chr21.43031681	chr21	43031681	R	84	10.71	89.29
chr21.43031693	chr21	43031693	R	85	10.59	89.41
chr21.43031710	chr21	43031710	R	90	37.78	62.22
chr21.43031957	chr21	43031957	F	197	72.08	27.92
chr21.43031957	chr21	43031957	R	36	86.11	13.89
chr21.43031976	chr21	43031976	F	197	85.28	14.72
chr21.43032571	chr21	43032571	F	74	100	0
chr21.43032613	chr21	43032613	R	46	84.78	15.22
chr21.43034558	chr21	43034558	F	20	100	0
chr21.43034601	chr21	43034601	F	20	90	10
chr21.43034606	chr21	43034606	F	20	100	0
chr21.43034659	chr21	43034659	R	60	90	10
chr21.43034668	chr21	43034668	R	59	100	0
chr21.43034674	chr21	43034674	R	60	100	0
chr21.43034705	chr21	43034705	F	47	100	0
chr21.43034705	chr21	43034705	R	62	100	0
chr21.43034843	chr21	43034843	F	60	98.33	1.67
chr21.43034880	chr21	43034880	F	58	82.76	17.24
chr21.43034880	chr21	43034880	R	120	95.83	4.17
chr21.43034885	chr21	43034885	F	59	91.53	8.47
chr21.43034885	chr21	43034885	R	121	78.51	21.49
chr21.43034896	chr21	43034896	F	104	94.23	5.77
chr21.43034896	chr21	43034896	R	187	64.71	35.29
chr21.43034953	chr21	43034953	R	67	92.54	7.46
chr21.43035769	chr21	43035769	R	61	100	0
chr21.43035806	chr21	43035806	R	62	100	0
chr21.43036710	chr21	43036710	F	45	97.78	2.22
chr21.43036720	chr21	43036720	F	45	97.78	2.22
chr21.43036731	chr21	43036731	F	45	100	0
chr21.43036740	chr21	43036740	F	45	100	0
chr21.43036753	chr21	43036753	F	44	100	0
chr21.43037069	chr21	43037069	F	233	83.26	16.74
chr21.43037089	chr21	43037089	F	234	100	0
chr21.43037200	chr21	43037200	R	31	70.97	29.03
chr21.43037244	chr21	43037244	R	31	67.74	32.26
chr21.43037253	chr21	43037253	R	34	100	0
chr21.43037297	chr21	43037297	R	34	91.18	8.82
chr21.43037335	chr21	43037335	R	35	100	0
chr21.43037723	chr21	43037723	F	36	100	0
chr21.43037762	chr21	43037762	F	34	100	0
chr21.43037942	chr21	43037942	R	23	100	0
chr21.43037957	chr21	43037957	R	24	100	0
chr21.43037981	chr21	43037981	R	24	100	0
chr21.43037981	chr21	43037981	F	43	100	0
chr21.43037998	chr21	43037998	F	43	93.02	6.98
chr21.43038001	chr21	43038001	F	43	100	0
chr21.43038019	chr21	43038019	F	29	0	100
chr21.43038046	chr21	43038046	R	36	100	0
chr21.43038050	chr21	43038050	R	37	100	0
chr21.43038092	chr21	43038092	R	37	100	0
chr21.43038092	chr21	43038092	F	82	100	0
chr21.43038111	chr21	43038111	F	81	88.89	11.11
chr21.43038177	chr21	43038177	R	119	96.64	3.36
chr21.43038177	chr21	43038177	F	75	61.33	38.67
chr21.43038362	chr21	43038362	R	14	100	0
chr21.43038365	chr21	43038365	R	14	100	0
chr21.43038393	chr21	43038393	R	15	100	0
chr21.43038393	chr21	43038393	F	73	76.71	23.29
chr21.43038407	chr21	43038407	F	73	56.16	43.84
chr21.43038416	chr21	43038416	F	69	79.71	20.29
chr21.43038431	chr21	43038431	F	69	76.81	23.19
chr21.43038435	chr21	43038435	F	68	75	25
chr21.43039286	chr21	43039286	F	12	100	0
chr21.43039310	chr21	43039310	F	12	58.33	41.67
chr21.43039327	chr21	43039327	F	12	58.33	41.67
chr21.43040258	chr21	43040258	R	10	0	100
chr21.43040260	chr21	43040260	R	10	0	100
chr21.43040277	chr21	43040277	F	59	0	100
chr21.43040277	chr21	43040277	R	10	0	100
chr21.43040280	chr21	43040280	F	57	0	100
chr21.43040460	chr21	43040460	F	82	97.56	2.44
chr21.43040460	chr21	43040460	R	129	86.82	13.18
chr21.43040514	chr21	43040514	F	75	78.67	21.33
chr21.43040731	chr21	43040731	R	13	76.92	23.08
chr21.43040738	chr21	43040738	R	13	76.92	23.08
chr21.43044391	chr21	43044391	F	28	100	0
chr21.43044428	chr21	43044428	F	28	75	25
chr21.43044448	chr21	43044448	F	27	100	0
chr21.43044609	chr21	43044609	R	71	100	0
chr21.43044625	chr21	43044625	R	73	100	0
chr21.43044631	chr21	43044631	F	73	90.41	9.59
chr21.43044668	chr21	43044668	F	71	91.55	8.45
chr21.43044689	chr21	43044689	F	70	100	0
chr21.43044843	chr21	43044843	R	12	100	0
chr21.43044860	chr21	43044860	R	12	100	0
chr21.43044868	chr21	43044868	F	32	100	0
chr21.43044868	chr21	43044868	R	12	100	0
chr21.43044876	chr21	43044876	F	31	93.55	6.45
chr21.43044876	chr21	43044876	R	76	100	0
chr21.43044883	chr21	43044883	R	74	100	0
chr21.43044883	chr21	43044883	F	32	93.75	6.25
chr21.43044912	chr21	43044912	R	77	100	0
chr21.43047566	chr21	43047566	F	36	100	0
chr21.43047578	chr21	43047578	F	40	92.5	7.5
chr21.43047631	chr21	43047631	R	79	100	0
chr21.43047686	chr21	43047686	R	81	100	0
chr21.43047686	chr21	43047686	F	13	100	0
chr21.43047719	chr21	43047719	R	24	100	0
chr21.43049996	chr21	43049996	F	36	72.22	27.78
chr21.43050013	chr21	43050013	R	65	100	0
chr21.43050013	chr21	43050013	F	36	86.11	13.89
chr21.43050033	chr21	43050033	R	66	100	0
chr21.43051867	chr21	43051867	F	14	92.86	7.14
chr21.43051871	chr21	43051871	F	14	100	0
chr21.43051898	chr21	43051898	F	14	100	0
chr21.43051914	chr21	43051914	F	14	92.86	7.14
chr21.43052301	chr21	43052301	R	55	100	0
chr21.43052356	chr21	43052356	F	37	100	0
chr21.43052356	chr21	43052356	R	55	100	0
chr21.43052368	chr21	43052368	R	67	91.04	8.96
chr21.43052368	chr21	43052368	F	37	97.3	2.7
chr21.43052398	chr21	43052398	R	72	90.28	9.72
chr21.43053230	chr21	43053230	F	136	94.85	5.15
chr21.43053297	chr21	43053297	F	67	73.13	26.87
